,Job Title,Job Company,Apply Date,Apply Address
0,Manager,Prabidhi Bikash Saving and Credit Co-operative,"Apply Before: 5 days, 2 hours from now","Ason, Kathmandu"
1,Senior Marketing Officer,Prabidhi Bikash Saving and Credit Co-operative,"Apply Before: 5 days, 2 hours from now","Ason, Kathmandu"
2,Insurance Specialist,A Reputed Insurance Company,"Apply Before: 4 days, 2 hours from now",Pulchowk Lalitpur
3,Technical Assistant,A class Commercial Bank,"Apply Before: 1 week, 4 days from now",All Over Nepal
4,Loan Recovery Officer,Prabidhi Bikash Saving and Credit Co-operative,"Apply Before: 5 days, 2 hours from now","Ason, Kathmandu"
5,शाखा प्रबन्धक (केही),Global IME Laghubitta Bittiya Sanstha Ltd.,"Apply Before: 6 days, 14 hours from now","बेसिशहर,लमजुङ्ग,"
6,ब.सहायक/ सहायक/क.सहायक (केही),Global IME Laghubitta Bittiya Sanstha Ltd.,"Apply Before: 6 days, 14 hours from now","बेसिशहर,लमजुङ्ग,"
7,जे.टी.ए (केही),Global IME Laghubitta Bittiya Sanstha Ltd.,"Apply Before: 6 days, 14 hours from now","बेसिशहर, लमजुङ्ग,"
8,कनिष्ठ सहायक जुनियर प्रशिक्षार्थी (…,Global IME Laghubitta Bittiya Sanstha Ltd.,"Apply Before: 6 days, 14 hours from now","बेसिशहर, लमजुङ्ग,"
9,HEAD-OPERATION & FINANCE (Manag…,B.O.K. Capital Market Ltd.,Apply Before: 14 hours from now,"Kamaladi, Kathmandu, Nepal"
10,HEAD-MERCHANT BANKING (Sr. Offi…,B.O.K. Capital Market Ltd.,Apply Before: 14 hours from now,"Kamaladi, Kathmandu, Nepal"
11,Mutual Fund Scheme Manager,Prabhu Capital Limited,"Apply Before: 4 days, 14 hours from now","Kamaladi, Kathmandu, Nepal"
12,Manager Legal (AM/DM Level),Siddhartha Bank Limited,"Apply Before: 5 days, 14 hours from now","Hattisar, Kathmandu"
13,कर्जा अधिकृत,एक प्रतिष्ठित सहकारी संस्था लि.,"Apply Before: 4 days, 14 hours from now","कोटेश्वर, काठमाण्डौ"
14,सा. कर्जा अधिकृत,एक प्रतिष्ठित सहकारी संस्था लि.,"Apply Before: 4 days, 14 hours from now","कोटेश्वर, काठमाण्डौ"
15,कार्यालय साहयक,एक प्रतिष्ठित सहकारी संस्था लि.,"Apply Before: 4 days, 14 hours from now","कोटेश्वर, काठमाण्डौ"
16,क्षेत्रीय प्रबन्धक,रिलायन्स लाइफ इन्स्योरेन्स लिमिटेड,"Apply Before: 4 days, 14 hours from now","काठमाडौँ क्षेत्रीय कार्यालय, पोखरा क्षेत्रीय कार्यालय"
17,शाखा प्रमुख,रिलायन्स लाइफ इन्स्योरेन्स लिमिटेड,"Apply Before: 4 days, 14 hours from now","पाटन शाखा, चरिकोट शाखा, साखु उप-शाखा, फर्पिङ्ग उप-शाखा, दमौली…"
18,Branch Managers,"""C"" Class National Level Financial Institution","Apply Before: 5 days, 14 hours from now","Rupandehi. Nawalpur, Dhanusha, Kavrepalanchok, Kaski and Ma…"
